date,quarter,mesghal,usd
2023-05-02,124000000,118070000,540200
2023-05-03,124500000,118470000,541800
2023-05-04,124500000,118470000,536840
2023-05-06,120000000,114110000,527520
2023-05-07,119500000,115180000,535870
2023-05-08,119000000,114420000,531720
2023-05-09,117000000,114910000,529510
2023-05-10,117400000,114510000,530410
2023-05-11,117400000,114510000,530360
2023-05-13,113000000,109320000,513810
2023-05-14,109000000,111872000,521060
2023-05-17,107500000,108280000,512090
2023-05-18,107500000,108280000,510980
2023-05-20,114000000,111090000,518530
2023-05-21,115000000,111660000,523310
2023-05-22,115200000,111090000,522510
2023-05-23,115350000,109880000,515040
2023-05-24,114000000,109440000,516190
2023-05-25,114000000,109440000,514320
2023-05-27,110000000,108160000,515170
2023-05-28,112000000,109500000,518350
2023-05-29,112000000,108140000,513420
2023-05-30,111000000,108110000,509580
2023-05-31,112000000,108400000,513330
2023-06-01,112000000,108400000,510890
2023-06-03,111500000,106710000,509250
2023-06-06,107500000,103390000,496350
2023-06-07,104000000,101700000,492900
2023-06-08,104000000,101700000,490840
2023-06-10,100000000,97330000,470090
2023-06-11,102000000,98630000,481970
2023-06-12,105000000,101650000,499100
2023-06-13,106000000,100830000,488580
2023-06-14,104000000,99920000,488020
2023-06-15,104000000,99920000,488100
2023-06-17,108000000,102140000,492280
2023-06-18,105000000,100110000,486810
2023-06-19,106000000,100910000,489740
2023-06-20,104000000,99660000,485880
2023-06-21,106000000,101210000,497310
2023-06-22,106000000,101210000,497130
2023-06-24,107000000,102170000,499510
2023-06-25,106000000,102180000,497970
2023-06-26,107000000,101760000,492920
2023-06-27,106500000,101740000,492350
2023-06-28,106500000,101740000,492800
2023-07-01,108000000,103910000,499930
2023-07-02,108000000,103230000,502990
2023-07-03,108000000,103260000,502840
2023-07-04,106500000,103080000,503100
2023-07-05,106800000,103310000,503130
2023-07-06,106800000,103310000,503130
2023-07-08,105000000,102120000,499630
2023-07-09,103500000,101730000,498290
2023-07-10,102500000,100890000,491460
2023-07-11,102000000,101660000,492430
2023-07-12,101000000,101740000,492610
2023-07-15,99000000,100400000,483700
2023-07-16,99000000,100760000,488180
2023-07-17,99000000,100130000,488170
2023-07-18,97500000,100030000,484700
2023-07-19,97500000,100380000,486370
2023-07-22,95500000,98470000,483360
2023-07-23,96500000,100770000,486140
2023-07-24,100000000,101110000,488370
2023-07-25,102000000,101230000,490250
2023-07-26,102000000,101080000,488990
2023-07-29,103000000,100760000,487970
2023-07-30,105000000,102550000,493660
2023-07-31,109500000,103620000,500700
2023-08-01,108150000,102921000,500090
2023-08-02,108330000,102521000,498670
2023-08-05,106000000,102220000,496320
2023-08-06,105000000,101960000,496440
2023-08-07,103500000,101410000,493500
2023-08-08,104000000,101850000,495420
2023-08-09,100800000,101780000,496590
2023-08-12,103500000,100560000,491420
2023-08-13,102000000,100570000,492960
